Data;Ativo;Operação;Quantidade;Preço Médio;Total Financeiro;Quantidade Nominal
26/09/2022;JBSS3;C;400; R$ 25,74 ; R$ 10.296,00 ;400
26/09/2022;MDIA3;V;200; R$ 43,97 ;-R$ 8.794,00 ;-200
26/09/2022;ROMI3;V;600; R$ 17,31 ;-R$ 10.386,00 ;-600
29/09/2022;BRFS3;C;700; R$ 13,04 ; R$ 9.128,00 ;700
29/09/2022;MRFG3;C;1000; R$ 10,00 ; R$ 10.000,00 ;1000
29/09/2022;OIBR3;C;26300; R$ 0,39 ; R$ 10.257,00 ;26300
03/10/2022;CURY3;V;800; R$ 12,41 ;-R$ 9.928,00 ;-800
03/10/2022;DIRR3;V;600; R$ 17,49 ;-R$ 10.494,00 ;-600
10/10/2022;MILS3;V;800; R$ 13,00 ;-R$ 10.400,00 ;-800
17/10/2022;INTB3;V;300; R$ 34,04 ;-R$ 10.212,00 ;-300
19/10/2022;OIBR3;V;26300; R$ 0,31 ;-R$ 8.153,00 ;-26300
19/10/2022;PORT3;V;1000; R$ 10,79 ;-R$ 10.790,00 ;-1000
19/10/2022;RANI3;V;1000; R$ 9,23 ;-R$ 9.230,00 ;-1000
21/10/2022;UNIP6;V;100; R$ 110,20 ;-R$ 11.020,00 ;-100
24/10/2022;KLBN4;V;2400; R$ 4,22 ;-R$ 10.128,00 ;-2400
26/10/2022;SUZB3;V;200; R$ 53,05 ;-R$ 10.610,00 ;-200
27/10/2022;WEGE3;V;300; R$ 38,99 ;-R$ 11.697,00 ;-300
28/10/2022;KEPL3;V;400; R$ 24,64 ;-R$ 9.856,00 ;-400
03/11/2022;AGRO3;V;300; R$ 31,30 ;-R$ 9.390,00 ;-300
04/11/2022;RECV3;V;300; R$ 34,50 ;-R$ 10.350,00 ;-300
10/11/2022;BBDC4;C;700; R$ 15,30 ; R$ 10.710,00 ;700
11/11/2022;DIRR3;C;600; R$ 14,02 ; R$ 8.412,00 ;600
11/11/2022;GGBR3;V;400; R$ 25,81 ;-R$ 10.324,00 ;-400
17/11/2022;BRML3;C;1300; R$ 7,80 ; R$ 10.140,00 ;1300
17/11/2022;EZTC3;C;700; R$ 14,80 ; R$ 10.360,00 ;700
17/11/2022;JHSF3;C;180; R$ 5,50 ; R$ 990,00 ;180
17/11/2022;SOJA3;C;1000; R$ 10,23 ; R$ 10.230,00 ;1000
18/11/2022;AGRO3;C;300; R$ 26,51 ; R$ 7.953,00 ;300
18/11/2022;CURY3;C;800; R$ 11,08 ; R$ 8.864,00 ;800
18/11/2022;MDIA3;C;200; R$ 37,95 ; R$ 7.590,00 ;200
18/11/2022;ROMI3;C;600; R$ 14,84 ; R$ 8.904,00 ;600
18/11/2022;SUZB3;C;200; R$ 57,73 ; R$ 11.546,00 ;200
21/11/2022;INTB3;C;300; R$ 31,10 ; R$ 9.330,00 ;300
21/11/2022;MILS3;C;800; R$ 11,29 ; R$ 9.032,00 ;800
21/11/2022;RANI3;C;1000; R$ 8,53 ; R$ 8.530,00 ;1000
21/11/2022;UNIP6;C;100; R$ 97,20 ; R$ 9.720,00 ;100
22/11/2022;MLAS3;C;2900; R$ 3,56 ; R$ 10.324,00 ;2900
30/11/2022;GOAU4;V;700; R$ 13,91 ;-R$ 9.737,00 ;-700
06/12/2022;AALR3;C;500; R$ 19,76 ; R$ 9.880,00 ;500
06/12/2022;BRFS3;C;1300; R$ 7,90 ; R$ 10.270,00 ;1300
12/12/2022;IFCM3;C;2800; R$ 3,65 ; R$ 10.220,00 ;2800
12/12/2022;SBFG3;C;800; R$ 11,80 ; R$ 9.440,00 ;800
14/12/2022;MOVI3;C;1500; R$ 6,57 ; R$ 9.855,00 ;1500
14/12/2022;TTEN3;C;1200; R$ 8,27 ; R$ 9.924,00 ;1200
20/12/2022;BRKM5;C;400; R$ 26,09 ; R$ 10.436,00 ;400
26/12/2022;BOAS3;V;1400; R$ 7,24 ;-R$ 10.136,00 ;-1400
26/12/2022;TPIS3;C;10600; R$ 0,94 ; R$ 9.964,00 ;10600
26/12/2022;TLSA34;C;507; R$ 19,72 ; R$ 9.998,04 ;507
28/12/2022;MOVI3;V;1500; R$ 7,74 ;-R$ 11.610,00 ;-1500
28/12/2022;TTEN3;V;1200; R$ 9,53 ;-R$ 11.436,00 ;-1200
02/01/2023;MLAS3;V;2900; R$ 3,96 ;-R$ 11.484,00 ;-2900
05/01/2023;MYPK3;C;900; R$ 10,90 ; R$ 9.810,00 ;900
06/01/2023;LVTC3;V;1300; R$ 7,95 ;-R$ 10.335,00 ;-1300
